name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
angel's song,angel's song,arlo parks,5hxtmmvxz1ablgu34bktz1,2019-11-20,58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,sad
anthem,anthem,edx,1ssavervyid5oxzmtgzkkg,2018-03-30,44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,happy
ashes to ashes,ashes to ashes,warpaint,2lja0sy7vzpvj7qdfanouz,2010-10-05,51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,sad
atlavík,varða,hugar,6wdo6ds95slalcqcofbdqh,2019-08-23,53,155733,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,4,calm
auburn sky,auburn sky,toledo rains,42btxdrqftbe6jb6rd9qoz,2020-03-10,48,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4,calm
bad feeling,bad feeling,muzz,1quawluot3iik95s09cdsz,2020-03-12,39,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4,sad
bad kingdom,gold,may,7vcuaxrikelwgjsao5rekw,2018-01-19,57,193220,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,4,sad
bad timing,bad timing,arlo day,2kscegx6tosqqegmhjknqa,2019-04-15,30,254886,0.471,0.6890000000000001,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4,sad
ballad of the dying man,ballad of the dying man,father john misty,65w8narxpq2ezoahteymf0,2017-02-01,0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,sad
bayybe 07,bayybe,bilo 503,08qo8i2k0hxl0h8pincyuh,2017-11-17,50,114195,0.44,0.8270000000000001,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4,calm
beautiful life,beautiful life,lost frequencies,2s25z079t5krzfqeqrmqq4,2016-06-03,31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,happy
beautiful night,burden brothers ep,burden brothers,4zhrvs7eqgdroy5e3kkes2,2002-08-13,38,259529,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.13299999999998,7,4,energetic
beekweide,beekweide,job roggeveen,199pi6mx1ifrdk8zmtntyx,2020-07-10,34,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4,calm
before you go,divinely uninspired to a hellish extent (extended edition),lewis capaldi,2gmxnyrvijhvbuzwvlzdmp,2019-11-22,85,215106,0.459,0.604,0.575,0.0,0.0885,0.183,-4.8580000000000005,0.0573,111.881,3,4,sad
better than today,better than today,rhys lewis,6mlhg35rlksbc5obcdzvji,2019-01-04,60,230353,0.387,0.736,0.234,0.0,0.084,0.408,-8.861,0.0373,78.65,0,4,sad
better together,in between dreams,jack johnson,4vywxu6umkiq2os0m1i79y,2005-01-01,72,207680,0.868,0.308,0.347,2e-05,0.11,0.659,-9.529,0.0536,110.059,5,4,happy
betty,betty,wilson trouvé,0ybm8cohjb6iimi2em8pic,2020-05-29,32,161750,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,4,calm
bird,writing of blues and yellows (deluxe version),billie marten,6dzvc1vhpytfflbbayba7w,2016-09-23,55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4,sad
bison on the plains,bison on the plains,grandaddy,0e0hvla9nkilk2jwowvcmw,2018-11-19,32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.158999999999999,0.0281,133.874,9,4,sad
black car,black car,beach house,7esnexsnylx85yft6zisun,2018-05-02,0,251160,0.407,0.344,0.5489999999999999,0.901,0.111,0.32,-10.244000000000002,0.0293,77.473,9,4,sad
blackout,blackout,(hed) p.e.,6ytnvhrhuuuaoxy4dhzlgo,2003,37,233266,0.5479999999999999,0.00016,0.8640000000000001,0.00262,0.0354,0.5,-6.257999999999999,0.0557,95.569,1,4,energetic
blame,blame,manse,3tszprzsekl1dffpd1jdof,2019-06-26,53,180937,0.612,0.619,0.68,0.0,0.0786,0.346,-4.925,0.0346,127.909,0,4,energetic
blaster,blaster,marc benjamin,1fmzr4dd2me0ixgind9foc,2018-11-23,0,159523,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,4,energetic
bloodbuzz ohio,bloodbuzz ohio,soak,2pfkahd8arhessxyjaou6g,2019-11-25,46,279967,0.441,0.715,0.268,1.49e-06,0.11,0.057,-8.173,0.0308,140.07299999999998,6,4,sad
blow,blow,yves v,4nx11rjdh7aum8ezb73m1r,2017-05-15,0,165000,0.603,0.0186,0.902,0.6829999999999999,0.105,0.135,-5.979,0.0494,127.973,5,4,happy
bortom träden,i blomstertid,erik reno,4cflaetdgeu4mfmnuapayl,2020-06-07,48,260564,0.446,0.8009999999999999,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,4,calm
bottom of the sea,bottom of the sea,isaac elton,5otdnmpl1epr3tolyyric3,2017-07-11,48,242213,0.775,0.0068099999999999,0.66,0.171,0.22,0.425,-7.9289999999999985,0.0444,126.022,0,4,happy
bottom of a bottle,shapeshifter,smile empty soul,1xzrmihtcvjpqk29mzm44g,2016-04-01,61,221826,0.537,0.00236,0.847,1.16e-06,0.0844,0.459,-5.207999999999998,0.0383,106.055,6,4,energetic
bouquet with lilies,bouquet with lilies,la acacia,1j45uvywacngdz0jmkstup,2019-10-30,56,216607,0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,0,4,calm
breathe me,colour the small one,sia,7jqzzyjjlrpkrfygpkqsk6,2004-01-01,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,sad
bruises,divinely uninspired to a hellish extent,lewis capaldi,4of7rzprpv1mwrbhp5raqg,2019-05-17,84,220492,0.736,0.946,0.308,0.0,0.186,0.361,-7.83,0.0677,111.202,4,4,sad
butterfly,the gift of game,crazy town,4bggewlhgfrbrl7jbhc8ec,1999-11-04,71,216733,0.736,0.00132,0.8109999999999999,0.0001419999999999,0.107,0.609,-4.17,0.081,103.502,9,4,happy
bye bye little house,bye bye little house,ella van der woude,7aqkjpzlgvbkvtdyoj7yvk,2020-01-03,30,202405,0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,10,4,calm
california dreamin',if you can believe your eyes and ears,the mamas & the papas,63rva3tbizr6x1yp5uwkfd,1966-03,50,157960,0.5539999999999999,0.628,0.667,0.0,0.0486,0.597,-10.226,0.0342,112.749,1,4,happy
calm wilderness,calm wilderness,night sounds,44co96uhnfnq258r2vyble,2019-08-22,52,231723,0.186,0.8859999999999999,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7,4,calm
car underwater,what to do when you are dead,armor for sleep,4ciliy3da3p9tq2nfqkeox,2005,52,228706,0.435,0.014,0.774,0.0,0.127,0.448,-5.052,0.0631,147.466,2,4,energetic
chariot,b-sides and rarities,beach house,6db3uad2toajcgkpm3zizo,2017-06-30,42,316507,0.374,0.6629999999999999,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4,sad
city lights,city lights,marlies du mosch,5oxyhotdy7y789r3uqchab,2020-07-03,26,226266,0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,8,4,calm
cleansing,cleansing,jacco wynia,6u1ymcw9mtk9mpgy8xdveb,2020-05-29,36,304217,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,4,calm
clear skies,clear skies,dhyana thomas,7bkmzyxvyzgmvnhirdcmjy,2019-04-26,51,162085,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11,4,calm
click click boom,every six seconds,saliva,1lmvgl3030w3mgmrrd2hcm,2001-01-01,0,252400,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,4,energetic
cold arms,wilder mind,mumford & sons,7kpz9isu48poykpaab0wir,2015-05-01,0,169906,0.431,0.815,0.144,1.1e-06,0.124,0.0491,-12.07,0.039,137.683,11,4,sad
cold nights,cold nights,camo columbo,1q3aolcoawd8gpm9wp7shi,2020-01-03,51,189813,0.941,0.321,0.421,9.34e-05,0.0967,0.787,-7.917999999999998,0.0583,107.011,11,4,sad
cold as stone (feat. charlotte lawrence) - lipless remix,cold as stone (remixes) (feat. charlotte lawrence),kaskade,6chzg1omxz9vn3mqcr4cnf,2018-05-04,57,228666,0.619,0.237,0.6629999999999999,0.0,0.111,0.142,-6.937,0.0366,123.93,7,4,energetic
colgando,siesta,barulinho,2dvvmxdwby0u7vjcjojvh9,2020-07-31,36,268800,0.5670000000000001,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0,4,calm
collapse into light,collapse into light,evin iris,3jp962jolan9p4wcddx4my,2019-10-18,55,179500,0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,1,4,calm
coming home,coming home,zoe connelly,30acotgbj1pqzs1erzfzku,2019-12-11,51,172818,0.198,0.8540000000000001,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5,4,calm
coming undone,coming undone,korn,261qau5pamyyv0kpr0vc49,2005,0,199773,0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,2,4,energetic
count on you - atfc's c-thru remix,count on you (atfc's c-thru remix),autoerotique,7gl2sovjxs8qvlx0cuadeq,2018-07-16,42,235594,0.825,0.00735,0.925,0.8079999999999999,0.057,0.5670000000000001,-7.502000000000002,0.0463,123.025,4,4,happy
crash,crash,chris malinchak,1fxlhqcyaiw6kuuytxdtai,2018-03-07,57,232981,0.6890000000000001,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126.0,2,4,happy
crazy,st. elsewhere,gnarls barkley,1vxw6ayjls2oq3gw0dujao,2006-04-24,77,177466,0.855,0.0505,0.5870000000000001,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,4,happy
creep,the best of,radiohead,1yttesrau6iro2itvdwtpv,2008-04-07,0,238640,0.515,0.0102,0.43,0.0001409999999999,0.129,0.104,-9.935,0.0369,91.841,7,4,sad
crossing,crossing,the tides,08q4gyxnb8ak1zwhnjwova,2020-03-19,40,153103,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116.0,0,4,calm
crystal shores,crystal shores,dean valio,0guagl4nhshy1dzhikqkku,2019-05-24,51,170958,0.482,0.958,0.0257,0.923,0.104,0.144,-26.303,0.0323,109.98,9,4,calm
curiosity,curiosity,beau projet,3wedwvasce1ecbferseqnc,2019-03-21,60,155820,0.43,0.985,0.256,0.867,0.106,0.173,-22.088,0.0641,133.955,2,4,calm
curious morning,curious morning,michael orvind,5lzyyni8offwkix1p9zdqp,2020-07-14,36,182222,0.391,0.969,0.231,0.954,0.116,0.0882,-17.0,0.0363,107.981,3,4,calm
daar gaat ze,clouseau30,clouseau,7kmpc3vgxk3o9xup3gwaj0,2017-09-01,5,227906,0.639,0.78,0.4920000000000001,0.0,0.117,0.6659999999999999,-8.497,0.0288,87.03299999999999,5,4,happy
dancing on my own,dancing on my own,calum scott,02wacdrrpm4zlp8h7x6bnq,2016-06-03,9,260004,0.608,0.851,0.174,1.92e-05,0.0855,0.193,-8.796,0.0332,112.175,1,4,sad
dancing with your ghost,dancing with your ghost,sasha sloan,1tqxiltqoz5xxyfcbaesqq,2019-06-28,78,197732,0.629,0.7609999999999999,0.327,2.9600000000000005e-05,0.103,0.381,-8.285,0.029,74.953,11,4,sad
dancing with an astronaut,dancing with an astronaut,ellie rose,43celhkblhvdsz0cpetpij,2019-09-27,41,168141,0.516,0.487,0.407,0.0235,0.252,0.17,-7.841,0.0283,74.89399999999998,9,4,sad
darkest hour,darkest hour,low roar,36i7pi5g6xzjm3bcgqmlye,2019-10-18,29,179520,0.6940000000000001,0.612,0.359,0.738,0.1369999999999999,0.348,-16.105,0.0408,125.077,9,4,sad
dawning,dawning,light of sun,56ag77kiufvxjha1gdobsq,2019-08-26,58,206419,0.526,0.64,0.471,0.8170000000000001,0.096,0.286,-11.965,0.0424,119.972,0,4,calm
de fléche,de fléche,les manger tous,5vymvj2wullnmeqqrgwqx8,2019-09-30,52,233062,0.435,0.6679999999999999,0.333,0.8340000000000001,0.084,0.074,-15.885,0.0308,90.902,8,4,calm
den inre skogen,den inre skogen,thomas jackson,0zl6knmirt1pegzvazy9t1,2020-01-30,55,229657,0.532,0.924,0.382,0.61,0.134,0.0455,-17.683,0.0543,127.038,9,4,calm
dew drops,vortex,pieter de graaf,0nnfgldnuzh6qkuvhzpb0r,2019-10-11,50,335636,0.27,0.939,0.0384,0.936,0.1,0.0708,-24.513,0.0361,59.81,11,4,calm
dive,the soft cavalry,the soft cavalry,5tvkwugywzfvf5hq9uysvf,2019-07-05,0,255384,0.434,0.0418,0.531,0.00021,0.0941,0.0935,-10.05,0.0305,156.155,2,4,sad
do it again,do it again,steve aoki,5yzzy7hevww3rdntqm5mg1,2019-04-19,0,176129,0.701,0.119,0.95,0.00355,0.221,0.477,-3.026,0.0675,124.002,9,4,energetic
dolerme,dolerme,rosalía,2rel9pauza4putbjqw1frf,2020-03-24,68,143975,0.545,0.785,0.478,0.00278,0.123,0.318,-7.035,0.0559,173.74599999999995,8,4,sad
don't stop,rumours,fleetwood mac,4sxu3luz1eb4jwwbkqw43y,1977-02-04,0,192133,0.6859999999999999,0.0398,0.632,2.2e-06,0.0686,0.88,-11.433,0.0353,118.965,9,4,happy
don't you (forget about me) - remastered,celebrate (greatest hits),simple minds,0a4pzueptciqvva5m7r0m1,2013-03-25,11,263973,0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,11,4,happy
down on the corner,willy and the poor boys (40th anniversary edition),creedence clearwater revival,4ymlw13puuo7o3jkiwlkas,1969-11-02,0,166280,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0,4,happy
dragula,hellbilly deluxe,rob zombie,6nm8h73ycdg2sacnzv8pof,1998-01-01,70,222826,0.591,8.740000000000001e-05,0.963,0.000107,0.0781,0.609,-6.489,0.0531,125.03,0,4,energetic
dreams tonite,antisocialites,alvvays,0drvclqbn9znq295sx76vc,2017-09-08,62,196026,0.511,0.0108,0.622,4.51e-06,0.127,0.425,-5.727,0.0242,99.934,2,4,sad
drifting,drifting,eroded sky,157kvk58qr04aiudv2aqwd,2020-04-23,56,194571,0.616,0.71,0.202,0.6779999999999999,0.0871,0.0773,-14.144,0.0383,139.857,11,4,calm
duck and run,the better life,3 doors down,0s8osdxw96cl290pcsi2mx,2000,43,230600,0.524,0.0149,0.919,7.049999999999999e-05,0.131,0.848,-5.505,0.0436,87.931,4,4,energetic
dust on the ground,flaws,bombay bicycle club,2sbionpluq0bvxyrggdgcz,2010-01-01,0,243752,0.605,0.757,0.319,0.00237,0.116,0.273,-10.892,0.0306,109.603,10,4,sad
eagle,eagle,ansatz der maschine,7ui4m3uaky2wwh1mjzayzo,2019-12-13,28,226400,0.339,0.937,0.142,0.91,0.0847,0.121,-21.613000000000003,0.0416,109.98,10,4,calm
easy lover,chinese wall,philip bailey,7ini4pmpg4ie0smx5y4kvf,1985-03-20,68,304506,0.7490000000000001,0.0674,0.6990000000000001,0.00192,0.0763,0.935,-13.108,0.0371,128.904,1,4,happy
eden - hunted version,hunted,anna calvi,5zfsg3fna03fcuzzw2a9fr,2020-03-06,35,257815,0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,0,4,sad
edge of seventeen,crystal visions...the very best of stevie nicks,stevie nicks,2id8e4wvczfkhb4lhi7np3,2007-03-27,70,329680,0.59,0.277,0.828,5.57e-06,0.0868,0.636,-6.28,0.0439,111.353,0,4,happy
emotions in motion,emotions in motion,jaakko eino kalevi,4umpeqttlhboxdpepak8qr,2018-08-01,23,256906,0.6509999999999999,0.199,0.503,0.644,0.0781,0.5579999999999999,-10.906,0.0323,133.04399999999998,0,4,sad
enemy,seasons - clean,sevendust,3eqyyjmyuhglmtcp4c4isx,2003-10-07,43,183400,0.5720000000000001,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,1,4,energetic
escaping time,floating,benjamin martins,7jrsipcfkwhdzxwii8jz7v,2019-10-21,60,200346,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,10,4,calm
essential attitudes,honey,peals,0t3uhut7jmci5jcgyimawm,2016-09-16,50,217987,0.444,0.449,0.4970000000000001,0.722,0.081,0.25,-12.601,0.0383,99.093,5,4,calm
every kinda people,double fun,robert palmer,5jkufqv3wlplyoz0puja09,1978-01-01,0,199200,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,4,happy
everyday people,r&b: from doo-wop to hip-hop,various artists,7ll2lmwntzocf5hneudngn,1999-10-08,63,139506,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7,4,happy
falling,fine line,harry styles,1zmicix7xsabfajlezwmcp,2019-12-13,87,240133,0.5670000000000001,0.8390000000000001,0.267,1.46e-06,0.089,0.0592,-6.502000000000002,0.0299,110.011,4,4,sad
falling asleep,falling asleep,tiz mcnamara,1funuekkzz9mgt3bmycrff,2019-10-25,53,202400,0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.08700000000002,2,4,sad
falling away from me,issues,korn,2f6ffz4w8z3ejpsxpotvo5,1999-11-09,70,270920,0.468,0.00014,0.769,0.00124,0.271,0.17,-7.0360000000000005,0.041,104.102,4,4,energetic
fantasy - r3hab remix,fantasy (r3hab remix),sofie tukker,3igmera58mmtyt1mbkukrf,2019-04-19,19,188346,0.7,0.113,0.7509999999999999,0.00129,0.241,0.246,-3.853,0.0566,124.027,4,4,energetic
feels like flying,feels like flying,elementaries,3mmd2mgveidafmfvcb9wsc,2020-06-15,40,198077,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,11,4,calm
fields of blossom,fields of blossom,martèn legrand,0bekkhhqccnx6vlmtshoit,2020-04-24,32,197800,0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,4,4,calm
fix you,fix you,valentin,0x4cfzosdqvq5qtggwzfux,2019-11-22,47,240000,0.5,0.6709999999999999,0.185,0.0,0.0827,0.159,-13.209,0.0302,140.148,1,4,sad
fleur février,fleur février,jacco wynia,16a82oajqwawjdm8k5hcdm,2020-02-07,34,253904,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,3,4,calm
floating sunbeams,floating sunbeams,michael orvind,7hjzmjqfrlypzslxc7kn8n,2020-07-07,33,159292,0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,1,4,calm
flowing,flowing,lucas delphy,06g5mnuma3clbnwjfs8zis,2020-05-20,39,131116,0.2,0.8959999999999999,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,0,4,calm
flying by candlelight (abgt300) - above & beyond club mix,group therapy 300 live from hong kong (abgt300),above & beyond,0tew7ordkd2mjjqh507ni4,2018-10-05,47,364743,0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.97299999999998,1,4,energetic
focus,focus,light of sun,3dz7dfole5u2xegizfjego,2019-06-03,51,190526,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,4,4,calm
follow me,follow me,andre ehmann,7d44sl4znfm5hz6ltuvqbi,2019-07-19,51,204624,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2,4,calm
found,found,martin gauffin,2t2eemw8x3glkvje1gxpbc,2019-08-23,52,159049,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,0,4,calm
free,together,third party,6s2t9kunynzksg5fa1lidn,2019-03-15,50,228971,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3,4,happy
freya,cantec de leagane / freya,dave pad,0aatrekfgjglih00lnpkm7,2017-03-24,46,284878,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11,4,happy
from yesterday,a beautiful lie + 30 seconds to mars,thirty seconds to mars,4ogyt8hqlv6idcepscskh3,2007-05-15,0,245933,0.467,0.00578,0.8759999999999999,0.00592,0.0453,0.131,-4.841,0.0693,135.055,10,4,energetic
frozen,frozen,ron adelaar,4nteevqnnghbwwo6k7oprh,2020-06-05,45,166000,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,9,4,calm
fête sous les étoiles,suite,biba dupont,55ux9bdgw3qtvfad3pxstq,2020-05-01,34,184000,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,1,4,calm
game time (feat. ninja),game time (feat. ninja),3lau,229mm2st7snw43nt8adlg8,2018-11-30,52,156631,0.534,8.05e-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,1,4,happy
gasoline,disclaimer ii,seether,4e7yuouxvwpbk1q2kvlgz8,2004-01-01,39,168560,0.478,4.650000000000001e-05,0.942,0.0336,0.061,0.726,-2.71,0.08,173.515,1,4,energetic
get lucky (feat. pharrell williams & nile rodgers) - radio edit,get lucky (feat. pharrell williams & nile rodgers) [radio edit],daft punk,2foc5q5nqnioscnqttzhof,2013-04-19,78,248413,0.794,0.0426,0.8109999999999999,1.07e-06,0.101,0.862,-8.966000000000003,0.038,116.047,6,4,happy
getting away with murder,getting away with murder (explicit version),papa roach,3yqoptassglssuzybz9blf,2004-01-01,0,191239,0.544,0.000115,0.97,3.34e-05,0.238,0.349,-3.78,0.0532,103.909,1,4,energetic
ghostride,ghostride,crumb,6mnyxjuk0cdzqem4er5jgu,2019-05-09,0,126120,0.664,0.511,0.352,0.8059999999999999,0.109,0.45,-9.426,0.0278,87.054,2,4,sad
glaciers,bloom,lights & motion,2no1a7zumabgxz45jma9gw,2018-02-02,53,176373,0.0789,0.733,0.16,0.7859999999999999,0.0943,0.0409,-18.144,0.0362,56.449,7,4,calm
gone my way - khomha remix,gone my way (khomha remix),morgan page,08hghm2hjpcxjux9yuhcg0,2019-05-10,46,168750,0.547,0.00129,0.895,0.107,0.288,0.0353,-7.081,0.0683,128.02200000000002,5,4,energetic
good vibrations - remastered,good vibrations 40th anniversary,the beach boys,2of7fzhijbzjeexz3d0ku4,2006-01-01,66,217746,0.403,0.387,0.495,8.03e-06,0.147,0.38,-6.888,0.0312,132.912,10,4,happy
goodbye,the devil's walk,apparat,4vxauj96w2jw9uotkhu51p,2011,69,256786,0.484,0.406,0.457,0.6459999999999999,0.297,0.187,-13.976,0.0456,87.15899999999998,1,4,sad
goshen,east harlem,beirut,5rlzgazostoc3fqhmgchvk,2011-06-14,0,200146,0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,11,4,sad
gracewood (revisited),in between (a-side),steven vrancken,1tspceuusxyz7fiaduy3x1,2020-05-01,11,139050,0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,8,4,calm
green street,green street,alexander motovilov,4kjbflffccnwkbgwvybsxz,2020-07-31,27,133125,0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,7,4,calm
groove is in the heart,rhino hi-five: deee-lite,deee-lite,2uvluddklevak5pxgc7baa,2005-04-19,65,231786,0.6940000000000001,0.0153,0.8809999999999999,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1,4,happy
groovin,groovin,sir roy,3ktuaf5m4hict6n7zb323h,2018-02-10,50,267152,0.845,0.0447,0.7440000000000001,0.343,0.13,0.6940000000000001,-9.539,0.0567,126.0,10,4,energetic
handful of redemption,tomorrow come today,boysetsfire,3ekjqtjodwy5ylugtkoxdo,2003-01-01,34,240253,0.508,0.00022,0.947,0.0315,0.0784,0.419,-3.684,0.0531,163.731,3,4,energetic
happy ending,body and soul,joe jackson,1qv9twdpxh50dplgwd4bnh,1984-01-01,51,218466,0.635,0.0973,0.8079999999999999,0.0,0.141,0.726,-5.026,0.0262,131.377,9,4,happy
